Bulbasaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1115,113,1
2,14,15,15,40,1106,113,0.9925
3,15,14,15,40,1110,113,0.9921
4,15,15,14,40,1111,112,0.9912
5,13,15,15,40,1098,113,0.985
6,14,14,15,40,1102,113,0.9846
7,15,13,15,40,1106,113,0.9841
8,15,15,15,39.5,1107,112,0.9841
9,14,15,14,40,1102,112,0.9837
10,15,14,14,40,1106,112,0.9833
11,15,15,13,40,1107,111,0.9823
12,12,15,15,40,1089,113,0.9774
13,13,14,15,40,1093,113,0.9771
14,15,15,15,39,1099,112,0.977
15,14,13,15,40,1097,113,0.9767
16,14,15,15,39.5,1098,112,0.9767
17,15,14,15,39.5,1102,112,0.9763
18,13,15,14,40,1094,112,0.9762
19,15,12,15,40,1101,113,0.9762
20,14,14,14,40,1098,112,0.9759
4096,0,0,0,40,878,101,0.6986
,,,,,,,
Ivysaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,14,38.5,1498,132,1
2,0,13,12,39,1500,131,0.9997
3,0,14,15,38,1496,132,0.9991
4,0,14,13,38.5,1498,131,0.9988
5,0,14,11,39,1500,130,0.9984
6,0,15,14,38,1497,131,0.9978
7,0,15,12,38.5,1499,130,0.9975
8,1,15,15,37.5,1500,131,0.997
9,1,15,14,37.5,1495,131,0.997
10,1,15,12,38,1498,130,0.9968
11,2,15,15,37,1499,131,0.9962
12,0,9,14,39.5,1500,133,0.9961
13,0,10,15,39,1499,133,0.9954
14,0,11,14,39,1499,132,0.9944
15,1,11,14,38.5,1498,132,0.9937
16,0,12,15,38.5,1498,132,0.9936
17,0,12,14,38.5,1493,132,0.9936
18,1,11,12,39,1500,131,0.9934
19,0,12,13,39,1500,131,0.9933
20,0,12,12,39,1495,131,0.9933
4096,0,0,0,40,1404,122,0.8658
,,,,,,,
Venusaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,11,21,1498,123,1
2,0,12,13,21,1498,124,0.9982
3,0,15,10,21,1498,122,0.9968
4,0,10,15,21,1498,125,0.9962
5,3,15,14,20.5,1499,123,0.9958
6,1,12,11,21,1498,123,0.9951
7,0,13,12,21,1498,123,0.9951
8,0,13,11,21,1495,123,0.9951
9,1,15,8,21,1498,121,0.9936
10,1,10,13,21,1498,124,0.9933
11,0,11,14,21,1498,124,0.9932
12,0,11,13,21,1495,124,0.9932
13,4,15,12,20.5,1500,122,0.9927
14,1,13,10,21,1498,122,0.992
15,0,14,10,21,1495,122,0.9919
16,0,9,15,21,1494,125,0.9912
17,1,8,15,21,1498,125,0.9912
18,4,13,14,20.5,1500,123,0.991
19,3,14,15,20.5,1499,123,0.991
20,3,14,14,20.5,1496,123,0.991
4096,14,0,0,20.5,1469,114,0.9019
,,,,,,,
Mega Venusaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,15,1498,106,1
2,2,13,15,15,1498,106,0.9964
3,1,14,15,15,1495,106,0.9962
4,0,15,15,15,1492,106,0.9959
5,3,14,13,15,1500,105,0.9949
6,2,15,13,15,1497,105,0.9947
7,3,11,15,15,1499,106,0.9928
8,2,12,15,15,1496,106,0.9926
9,1,13,15,15,1492,106,0.9923
10,0,14,15,15,1489,106,0.9921
11,4,12,13,15,1500,105,0.9913
12,3,13,13,15,1497,105,0.9911
13,2,14,14,15,1498,105,0.9908
14,2,14,13,15,1494,105,0.9908
15,1,15,14,15,1494,105,0.9906
16,1,15,13,15,1491,105,0.9906
17,0,10,8,15.5,1500,104,0.9903
18,0,15,4,15.5,1500,102,0.9902
19,3,15,12,15,1499,104,0.9892
20,4,9,15,15,1499,106,0.9891
4096,15,4,2,14.5,1451,97,0.8963
,,,,,,,
Charmander,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,980,105,1
2,14,15,15,40,973,105,0.9924
3,15,14,15,40,976,105,0.9907
4,15,15,14,40,976,104,0.9905
5,13,15,15,40,965,105,0.9847
6,15,15,15,39.5,973,104,0.9834
7,14,14,15,40,968,105,0.9832
8,14,15,14,40,969,104,0.9829
9,15,13,15,40,971,105,0.9815
10,15,14,14,40,972,104,0.9813
11,15,15,13,40,973,103,0.981
12,12,15,15,40,958,105,0.9771
13,15,15,15,39,966,104,0.9763
14,14,15,15,39.5,966,104,0.9759
15,13,14,15,40,961,105,0.9756
16,13,15,14,40,961,104,0.9754
17,15,14,15,39.5,969,104,0.9743
18,14,13,15,40,964,105,0.974
19,15,15,14,39.5,969,103,0.9739
20,15,15,13,39.5,966,103,0.9739
4096,0,0,0,40,758,93,0.6754
,,,,,,,
Charmeleon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,15,40,1499,131,1
2,0,14,14,40,1499,130,0.9995
3,0,15,15,39.5,1498,130,0.9995
4,0,15,13,40,1500,129,0.9989
